0,1,2,3,4,5,6,7,8,9
4.8404875,-2.5595896,3.345296,-2.5281622,3.1624372,-1.8122901,3.7711515,5.898399,-2.8760278,-2.884635
6.8129454,-4.6995454,3.8794265,-4.0117464,4.720281,-1.451152,5.388393,8.69904,-3.52719,-3.8937755
7.022481,-3.855281,5.366541,-3.3809896,4.4059763,-2.8462355,6.2510886,9.118024,-4.1553855,-4.749962
6.6597614,-7.1753125,-1.4147114,-7.049474,6.1916423,3.329802,1.2398722,6.9475656,-1.9447457,-0.2778201
7.192864,-5.640517,3.2526896,-4.722415,5.2763534,-0.6420941,5.3779774,9.154158,-3.4074092,-3.7146285
6.36247,-3.973529,3.9439266,-3.6200726,4.296576,-1.7350916,4.9581537,7.973361,-3.5037022,-3.73296
5.329651,-3.8865063,1.8880692,-3.8074565,3.970089,-0.22456633,3.0581212,6.1544557,-2.5605125,-2.1929584
6.746115,-4.7647276,3.6791422,-4.0154138,4.661177,-1.2877262,5.3645887,8.627148,-3.4649875,-3.8483686
6.6136503,-4.4006968,3.796905,-3.8354182,4.5489426,-1.4774762,5.2004595,8.361634,-3.482474,-3.7495816
6.8015637,-4.242202,3.9255102,-3.8848703,4.5611463,-1.6161052,5.1477656,8.338514,-3.6580417,-3.7922072
7.341372,-5.65498,3.3339307,-4.747858,5.3144693,-0.6956438,5.430198,9.224415,-3.530697,-3.7421713
6.882153,-4.4752464,4.1150184,-3.8341606,4.5658536,-1.6398042,5.6084566,8.712952,-3.718079,-4.0849624
6.472507,-4.229689,3.8806221,-3.6982138,4.404174,-1.6057525,5.159079,8.196872,-3.4866915,-3.7809365
7.327502,-5.510295,3.3085139,-4.7513843,5.221692,-0.81056863,5.3855844,9.147939,-3.5681593,-3.8063004
6.137743,-5.184639,1.2320046,-4.6969247,4.65862,0.7694951,3.4340413,7.1412435,-2.5801704,-2.2716799
6.444023,-6.200845,-0.34049052,-6.0094786,5.501965,2.2792494,2.0712733,6.9063654,-2.243673,-1.0118775
6.1387367,-3.8090146,3.8840675,-3.330933,4.1133895,-1.7375908,4.9990396,7.7737937,-3.3951406,-3.6337914
5.742151,-3.1998255,3.633963,-3.096809,3.712556,-1.7692147,4.4661455,7.043808,-3.3078272,-3.4133372
6.3566337,-4.227755,3.4849172,-3.7663987,4.327143,-1.1981865,4.8249183,7.860527,-3.3857687,-3.51586
4.9485884,-2.5177844,3.9330018,-2.2932494,3.1039684,-2.303134,4.4575057,6.409597,-3.0325384,-3.419525
6.568684,-5.4098277,2.7734668,-4.4605393,4.962573,-0.3380398,4.828007,8.461709,-3.007579,-3.3199074
7.2910624,-5.014053,3.9524825,-4.343654,4.98462,-1.4128162,5.685129,9.173192,-3.7826319,-4.1182966
7.301102,-5.7666235,3.1518126,-4.8322306,5.3450804,-0.5635943,5.3427696,9.19885,-3.4061694,-3.6483638
6.2391405,-3.811067,3.826184,-3.4605339,4.170885,-1.7325792,4.893291,7.780255,-3.4193046,-3.6152496
